617,5,979,2,979,52,617,54
312,6,409,6,409,50,312,50
423,6,603,6,603,52,423,52
781,193,890,193,890,220,781,220
526,205,678,205,678,232,526,232
819,228,1001,228,1001,254,819,254
446,260,557,260,557,286,446,286
795,312,940,312,940,339,795,339
446,333,539,333,539,359,446,359
543,333,637,333,637,359,543,359
777,407,906,407,906,434,777,434
641,440,767,440,767,466,641,466
72,522,167,522,167,557,72,557
179,522,357,522,357,557,179,557
1126,577,1231,577,1231,625,1126,625
250,587,353,587,353,637,250,637
492,587,587,587,587,637,492,637
593,587,813,587,813,637,593,637
815,587,878,587,878,635,815,635
882,587,962,587,962,637,882,637
966,587,1086,587,1086,637,966,637
70,589,187,589,187,637,70,637
191,589,244,589,244,637,191,637
357,589,486,589,486,637,357,637
