44,22,125,22,125,53,44,53
132,22,209,22,209,52,132,52
232,138,261,138,261,157,232,157
178,140,232,140,232,161,178,161
375,143,457,139,458,159,376,163
262,142,282,142,282,156,262,156
284,142,341,142,341,157,284,157
345,142,374,142,374,161,345,161
178,206,236,206,236,225,178,225
236,206,269,206,269,225,236,225
328,206,349,206,349,225,328,225
412,206,473,206,473,225,412,225
269,206,327,208,326,226,268,225
381,207,411,209,410,227,380,225
350,209,380,209,380,229,350,229
178,274,212,274,212,293,178,293
213,274,298,275,298,294,213,293
299,276,391,272,392,293,300,297
393,273,435,276,434,298,392,295
178,344,236,344,236,362,178,362
236,344,269,344,269,362,236,362
328,344,349,344,349,362,328,362
381,344,460,344,460,364,381,364
461,344,517,344,517,362,461,362
269,345,326,345,326,362,269,362
350,346,380,346,380,365,350,365
178,412,213,412,213,430,178,430
325,412,400,412,400,430,325,430
401,412,437,412,437,430,401,430
438,412,520,412,520,430,438,430
521,412,614,412,614,430,521,430
211,416,323,411,324,430,212,435
