415,279,582,283,582,311,414,308
604,284,656,284,656,312,604,312
416,361,439,361,439,380,416,380
463,361,534,361,534,380,463,380
535,361,577,361,577,380,535,380
579,362,680,362,680,382,579,382
479,395,541,395,541,415,479,415
541,397,574,397,574,413,541,413
579,397,625,397,625,416,579,416
628,398,689,398,689,416,628,416
460,448,525,448,525,469,460,469
526,448,627,448,627,469,526,469
413,449,436,449,436,467,413,467
476,484,538,484,538,504,476,504
540,484,604,484,604,505,540,505
607,486,672,486,672,505,607,505
675,486,708,486,708,507,675,507
710,487,759,487,759,505,710,505
762,487,826,487,826,508,762,508
