531,88,597,93,594,126,529,122
535,124,565,124,565,132,535,132
506,162,522,162,522,172,506,172
524,160,564,163,564,174,523,172
566,165,589,165,589,174,566,174
625,247,661,247,661,261,625,261
529,248,554,248,554,264,529,264
555,248,595,248,595,262,555,262
602,248,625,248,625,262,602,262
479,249,522,249,522,265,479,265
451,251,476,251,476,265,451,265
622,262,659,262,659,277,622,277
552,265,594,263,594,277,552,279
602,264,624,264,624,277,602,277
529,265,552,265,552,278,529,278
476,268,522,266,523,280,477,282
449,268,475,268,475,282,449,282
544,291,581,291,581,301,544,301
124,312,145,312,145,328,124,328
62,317,121,314,121,330,62,333
9,320,59,318,60,334,10,336
73,333,182,324,184,355,75,364
-1,335,81,331,82,364,0,368
