511,35,649,30,651,102,514,107
505,113,659,111,660,141,506,144
219,179,228,180,225,224,216,223
942,184,954,184,954,226,942,226
218,228,226,228,226,268,218,268
944,228,956,228,956,268,944,268
944,268,956,268,956,300,944,300
536,346,912,346,912,428,536,428
206,346,510,346,510,434,206,434
643,437,917,432,918,478,644,482
322,436,630,436,630,484,322,484
208,440,310,440,310,486,208,486
616,512,672,512,672,538,616,538
676,512,734,512,734,538,676,538
736,512,794,512,794,538,736,538
796,512,896,512,896,536,796,536
402,514,482,514,482,540,402,540
482,514,612,514,612,536,482,536
222,516,278,516,278,542,222,542
278,516,352,516,352,538,278,538
356,516,398,516,398,540,356,540
903,534,1148,526,1152,621,906,629
584,620,736,620,736,650,584,650
