401,105,745,34,761,110,417,181
579,143,698,123,704,157,585,177
203,193,337,146,354,195,220,242
645,164,738,151,743,187,650,200
490,160,542,155,545,187,493,193
589,177,648,168,653,198,594,207
487,192,592,174,598,207,493,225
484,219,772,181,777,218,489,256
259,223,316,208,322,232,265,247
237,226,266,226,266,251,237,251
218,232,241,232,241,255,218,255
273,241,311,233,316,256,278,264
219,254,264,245,268,268,223,276
236,269,309,256,314,280,240,293
758,328,870,321,873,363,761,370
409,351,423,351,423,387,409,387
408,387,423,387,423,398,408,398
