1005,42,1057,42,1057,62,1005,62
1064,42,1120,42,1120,64,1064,64
991,70,1042,70,1042,93,991,93
1046,71,1086,71,1086,93,1046,93
1088,71,1118,71,1118,92,1088,92
593,71,635,71,635,108,593,108
687,116,782,116,782,165,687,165
589,117,648,117,648,162,589,162
1027,117,1140,117,1140,167,1027,167
941,123,985,123,985,165,941,165
595,165,681,165,681,210,595,210
952,169,1018,169,1018,213,952,213
615,221,694,221,694,270,615,270
692,224,779,224,779,268,692,268
954,224,1029,224,1029,274,954,274
1029,228,1116,228,1116,272,1029,272
595,268,760,268,760,318,595,318
936,262,1030,276,1024,319,930,306
1027,276,1121,276,1121,318,1027,318
1064,326,1094,326,1094,355,1064,355
1090,324,1136,324,1136,366,1090,366
64,478,151,478,151,510,64,510
160,478,327,478,327,510,160,510
176,521,386,521,386,558,176,558
64,523,167,523,167,558,64,558
396,523,440,523,440,558,396,558
449,523,525,523,525,558,449,558
530,523,659,523,659,558,530,558
668,523,827,523,827,558,668,558
832,523,980,523,980,558,832,558
1038,513,1185,542,1173,598,1027,569
64,561,169,561,169,596,64,596
191,563,477,563,477,596,191,596
480,565,497,565,497,580,480,580
506,565,607,565,607,596,506,596
617,563,661,563,661,596,617,596
666,563,871,563,871,596,666,596
880,563,989,563,989,596,880,596
